track,artist,release,streams
RITMO (Bad Boys For Life),Black Eyed Peas,2019,961358721
hot girl bummer,blackbear,2019,1265080733
Dancing With A Stranger (with Normani),Sam Smith,2019,1349115675
Heartbreak Anniversary,Giveon,2020,1157206056
Toxic,BoyWithUke,2021,690010618
Tennessee Whiskey,Chris Stapleton,2015,954073526
Up,Cardi B,2021,646916214
UN PREVIEW,Bad Bunny,2023,253455087
Prada Dem (feat. Offset),Gunna,2024,57374288
Sabor Fresa,Fuerza Regida,2023,502536183
MON LOVE OHO,Liamsi,2023,24215252
Surround Sound (feat. 21 Savage & Baby Tate),JID,2022,548724288
Super Gremlin,Kodak Black,2021,416955991
Natural,Imagine Dragons,2018,1228556153
La Triple M,Mawell,2023,44557662
OUT WEST (feat. Young Thug),JACKBOYS,2019,709850383
"Fear Song (From ""Devara Part 1"") [Tamil]",Anirudh Ravichander,2024,945093
High Hopes,Panic! At The Disco,2018,1602076880
Side To Side,Ariana Grande,2016,1427792654
Last Night,Morgan Wallen,2023,922010059
Build a Bitch,Bella Poarch,2021,452542081
"Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,2024,126619484
400 Degreez,JUVENILE,2024,11610247
Y LLORO,Junior H,2023,363816146
Streets,Doja Cat,2019,1056939084
How We Roll,Ciara,2023,36007719
"Satranga (From ""Animal"")",Arijit Singh,2023,214352397
My Universe,Coldplay,2021,1269607301
Peaches & Eggplants (feat. 21 Savage),Young Nudy,2023,157446814
Thinking Out Loud,Ed Sheeran,2017,473328
O Me Voy O Te Vas,Natanael Cano,2023,226233020
Girls Like You (feat. Cardi B),Maroon 5,2017,1650167380
Slime You Out (feat. SZA),Drake,2023,202169670
Therefore I Am,Billie Eilish,2020,805133547
Wish You The Best,Lewis Capaldi,2023,245513981
Stitches,Shawn Mendes,2015,1907768690
Back On 74,Jungle,2023,212122034
"Welcome To Rosas - From ""Wish""",Ariana DeBose,2023,12375503
THIS YEAR (Blessings),Victor Thompson,2023,134208327
Fair Trade (with Travis Scott),Drake,2021,819136167
Mayores,Becky G,2017,709559454
CHORRITO PA LAS ANIMAS,Feid,2022,558560568
New Divide,Linkin Park,2024,340239513
White Horse,Chris Stapleton,2023,155443055
Ojitos Rojos,Grupo Frontera,2023,221287566
La Morocha,Luck Ra,2023,161280933
Who Is Your Guy?,Spyro,2022,21236593
You Right,Doja Cat,2021,831648193
AMG,Natanael Cano,2022,674025091
Bandido,Myke Towers,2020,700122551
Karma,JoJo Siwa,2024,17310258
El Gordo Trae El Mando,Chino Pacas,2023,545234876
Ya No Tengo Tu Love,Sie7e,2023,4561175
52 Gaj Ka Daman,Renuka Panwar,2020,48929060
FTCU,Nicki Minaj,2023,167977668
Go Crazy,Young Thug,2020,699336080
I Don't Care,Boy Spyce,2024,3475009
Roar,Katy Perry,2013,1156191242
No Guidance (feat. Drake),Chris Brown,2019,1030515485
34+35,Ariana Grande,2020,978617707
Permission to Dance,BTS,2021,675763141
changes,XXXTENTACION,2018,1366479990
Tell Ur Girlfriend,Lay Bankz,2024,167431139
SPIDER,GIMS,2024,26972053
Sunday Best,Surfaces,2018,952626904
Guli Mata,Saad Lamjarred,2023,75152048
HOLA PERDIDA,Luck Ra,2024,110573724
Better,Khalid,2018,1355539058
I Don't Care (with Justin Bieber),Ed Sheeran,2019,1816356140
Substitution,Purple Disco Machine,2023,218035732
Automotivo Bibi Fogosa,Bibi Babydoll,2023,267867000
MERCHO,LiL CaKe,2022,366462735
Bandook,Nirvair Pannu,2020,40178056
Silence,Marshmello,2017,1592440653
Trap Queen,Fetty Wap,2014,1182373720
Sign of the Times,Harry Styles,2017,1532653504
METAMORPHOSIS,INTERWORLD,2021,624007138
Botella Tras Botella,Gera MX,2021,647496971
"Me, Myself & I",G-Eazy,2015,1280838046
"Steal The Show - From ""Elemental""",Lauv,2023,117717973
Lut Gaye,Jubin Nautiyal,2021,171856399
Piel,Tiago PZK,2024,128833634
Pasoori,Shae Gill,2022,346971014
the boy is mine,Ariana Grande,2024,175336290
When We Were Young (The Logical Song),David Guetta,2023,158952262
Bounce When She Walk,Ohboyprince,2023,18637452
"Apna Bana Le (From ""Bhediya"")",Arijit Singh,2022,250599391
Hold My Hand,Lady Gaga,2022,315680664
Big Energy,Latto,2021,324162855
Goodbyes (feat. Young Thug),Post Malone,2019,1263989128
Location,Khalid,2016,1369299352
Italodisco,The Kolors,2023,142141861
Perfect Night,LE SSERAFIM,2023,279667395
Vida de Rico,Camilo,2020,568823269
In My Feelings,Drake,2018,1389607643
You Broke My Heart,Drake,2023,123522254
Attention,Charlie Puth,2017,1800254516
Zhurek,Adam,2023,8893883
Let Me Down Slowly,Alec Benjamin,2018,1709991997
In The End,Tommee Profitt,2018,85068645
Took Her To The O,King Von,2020,497832707
Boyfriend,Dove Cameron,2022,637836235
Orquestra Maldita,TRASHXRL,2023,119445482
Sucker,Jonas Brothers,2019,1411856834
Alone,Marshmello,2016,561103984
PAINTING PICTURES,Superstar Pride,2022,193109326
GOOBA,6ix9ine,2020,472027271
vampire,Olivia Rodrigo,2023,997536616
THE DINER,Billie Eilish,2024,66101468
6 In the Morning (feat. Nate Dogg),Flex (UK),2024,4505404
Light Switch,Charlie Puth,2022,593554969
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,2024,1852457
On Me,Lil Baby,2020,368017246
when the party's over,Billie Eilish,2018,1845938685
Love The Way You Lie,Eminem,2010,1532052160
Party,Bad Bunny,2022,725076772
Make You Mine,Madison Beer,2024,127909006
Freaks,Surf Curse,2021,1089328286
In Da Getto,J Balvin,2021,484375103
Try That In A Small Town,Jason Aldean,2023,66418201
Tarot,Bad Bunny,2022,742515730
Mas Existe um Lugar,Kaio Viana,2023,24963236
TEXAS HOLD 'EM,Beyonc?,2024,425058273
Bura Na Mano Holi Hai,Shaan,2023,125047
Breaking the Habit,Linkin Park,2024,428629823
Work,Rihanna,2016,1399521364
Normal,Feid,2022,724772954
LALALALA,Stray Kids,2023,154592041
Sum 2 Prove,Lil Baby,2020,444934033
Lottery (Renegade),K CAMP,2019,173526912
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017,1382191196
Good Days,SZA,2020,1105805922
Leave Before You Love Me (with Jonas Brothers),Marshmello,2021,844630935
Youngblood,5 Seconds of Summer,2018,1790579305
Sweater Weather,The Neighbourhood,2012,2916412507
Merayu Tuhan,Tri Suaka,2023,8517888
Can We Kiss Forever?,Kina,2018,634493511
Felices los 4,Maluma,2017,932817713
ELOVRGA,Alex Favela,2023,333899135
Party Girl,StaySolidRocky,2020,730440576
I Feel It Coming,The Weeknd,2016,1749088490
Get In With Me,Bossman Dlow,2024,39401314
Agua (with J Balvin),Tainy,2020,391856304
Human,Rag'n'Bone Man,2016,1013083048
We Still Don't Trust You,Future,2024,64193671
snowfall,?neheart,2022,652949750
First Love,Oscar Maydon,2023,230291754
La_Original.mp3,Emilia,2023,184441175
OA,Anuel AA,2023,178950943
Ice Cream (with Selena Gomez),BLACKPINK,2020,574505748
Deja Vu,TOMORROW X TOGETHER,2024,75894056
one of wun,Gunna,2024,58469975
Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023,200151839
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,2023,377174503
MIDDLE CHILD,J. Cole,2019,1285518117
TO THE MOON,JNR CHOI,2021,274647899
Fancy Like,Walker Hayes,2021,328697441
The Color Violet,Tory Lanez,2021,806918358
S91,KAROL G,2023,240161044
LALISA,LISA,2021,502655066
Levitating,Dua Lipa,2020,946842175
Gimme Love,Sia,2023,105947434
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,2024,114992281
Arjan Vailly,Manan Bhardwaj,2023,123276250
Demons,Imagine Dragons,2012,2270796677
Supalonely,BENEE,2019,738407486
Spin Bout U,Drake,2022,356685934
From The Start,Laufey,2023,368256958
ZOOM,Jessi,2022,166161044
Can't Feel My Face,The Weeknd,2015,1747534539
Sexy And I Know It,LMFAO,2011,436722440
WHATS POPPIN,Jack Harlow,2020,819779577
POR EL CONTRARIO,Becky G,2023,131938548
Danza Kuduro - Cover,DJ MIX NON-STOP CHANNEL,2023,1648192461
Rara Vez,Taiu,2023,544165928
That That (prod. & feat. SUGA of BTS),PSY,2022,269491606
Espresso,Sabrina Carpenter,2024,536986458
Yeah Glo!,GloRilla,2024,89513100
MANIKIN (feat. Wifisfuneral),XXXTENTACION,2023,4306793
Copines,Aya Nakamura,2018,381322519
Thank God,Kane Brown,2022,157341967
TQM,Fuerza Regida,2023,497682165
Lily,Alan Walker,2018,403860053
Massive,Drake,2022,253114498
a lot,21 Savage,2018,949835159
Adicto (with Anuel AA & Ozuna),Tainy,2019,711861577
BAND4BAND,Central Cee,2024,86144467
Look What You Made Me Do,Taylor Swift,2017,1152346128
WOKE UP,XG,2024,16684393
Toki,Casper Magico,2024,13741023
Young Dumb & Broke,Khalid,2017,1527159800
El Beneficio De La Duda,Grupo Firme,2024,15557247
In A Minute,Lil Baby,2022,171118535
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2020,1549317525
No Se Vale,Camilo,2024,19388370
Jerusalema (feat. Nomcebo Zikode),Master KG,2019,406132477
DENTRO DA HILUX,Luan Pereira,2023,178699480
Funk do Patinho,Bento e Tot?,2022,16197748
Blueberry Faygo,Lil Mosey,2019,1295251940
Jiggle Jiggle,Duke & Jones,2022,121214716
En la Intimidad,Big One,2023,210712407
Counting Stars,OneRepublic,2013,2466006842
Essence (feat. Tems),Wizkid,2020,242254880
Get Into It (Yuh),Doja Cat,2021,603196133
No Me Conoce,Jhay Cortez,2019,49585127
offline,Young Miko,2024,109149345
TOPIA TWINS,Travis Scott,2023,196369387
Janze,Xamdam Sobirov,2023,344691
"O Saki Saki (From ""Batla House"")",Neha Kakkar,2019,144985656
Always Remember Us This Way,Lady Gaga,2018,1269760706
Aku Sayang Tapi Kau Tak Paham,DJ Boneng,2023,716453
Thought You Should Know,Morgan Wallen,2022,340227841
CAIRO,KAROL G,2022,443093379
Cupido,TINI,2023,358240136
Raja Ji Ke Dilwa,Pawan Singh,2023,4283
Winning Speech,Karan Aujla,2024,17917738
Home,Good Neighbours,2024,205068203
Sobrio,Maluma,2021,600199930
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,2023,247682011
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018,1244981489
Look Back At It,A Boogie Wit da Hoodie,2018,769061748
End of Beginning,Djo,2022,710784872
K-POP,Travis Scott,2023,285481590
favorite,Isabel LaRosa,2024,123802404
You & Me,JENNIE,2023,183134509
Tattoo,Rauw Alejandro,2020,341742937
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010,829352129
no tears left to cry,Ariana Grande,2018,1331371819
Upside Down,JVKE,2020,121391098
Crawling,Linkin Park,2024,570290910
APAGA EL CEL,FloyyMenor,2024,33245898
Genda Phool (feat. Payal Dev),Badshah,2020,86295058
Pure Cocaine,Lil Baby,2018,652559944
Espresso,Sabrina Carpenter,2024,536986458
Pretty Little Poison,Warren Zeiders,2023,142512477
Murder On My Mind,YNW Melly,2018,1055558326
You Are The Reason,Calum Scott,2017,1042531612
Bad Liar,Imagine Dragons,2018,1056929910
Wild Ones (feat. Jelly Roll),Jessie Murph,2023,165347464
ROXANNE,Arizona Zervas,2019,1474968552
Softly,Karan Aujla,2023,150073848
Tacones Rojos,Sebastian Yatra,2021,641756842
Ride the Vibe,NEXZ,2024,899456
family ties,Baby Keem,2021,786298066
Whatever It Takes,Imagine Dragons,2017,1257258072
POP!,NAYEON,2022,296828933
Into the Unknown,ALPHA 9,2023,78985
Lonely At The Top,Asake,2023,84655991
ecstacy (slowed),SUICIDAL-IDOL,2023,242661037
Si Se Da,Myke Towers,2019,317223968
Holy (feat. Chance The Rapper),Justin Bieber,2020,787546548
No Role Modelz,J. Cole,2014,2235160830
Symphony (feat. Zara Larsson),Clean Bandit,2017,1456894713
Rain On Me (with Ariana Grande),Lady Gaga,2020,1060378159
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,2023,118804209
One Right Now (with The Weeknd),Post Malone,2021,631789333
A Thousand Years,Christina Perri,2011,1654956613
Secreto,Anuel AA,2019,759388276
Toda Remix - Remix,Alex Rose,2018,482021697
I Hate U,SZA,2021,456871037
Better Now,Post Malone,2018,1953403531
Call Me Maybe,Carly Rae Jepsen,2012,1394048309
Piece Of Your Heart,MEDUZA,2019,995452298
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,2023,203379355
Mi Kryptonita,Doble ONE Flow Letal,2023,140356426
Ram Pam Pam,NATTI NATASHA,2021,257167813
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,2023,181516735
Stuck In The Middle,BABYMONSTER,2024,21167612
No Se Va,Grupo Frontera,2022,582023797
Aesthetic,Xilo,2020,27312761
get him back!,Olivia Rodrigo,2023,287724574
LA PEOPLE II,Peso Pluma,2024,123243341
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,2024,562814594
The Tortured Poets Department,Taylor Swift,2024,150693008
Your Love (9PM),ATB,2021,721002104
One Side,Iyanya,2022,23823099
HEAT STICK,Shoreline Mafia,2024,20538101
Photograph,Ed Sheeran,2013,2525355904
Virginia Beach,Drake,2023,165204421
Great Gatsby,Rod Wave,2023,66813186
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,2022,1020452066
Wants and Needs (feat. Lil Baby),Drake,2021,793287638
Jiwa Yang Bersedih,Ghea Indrawari,2023,229120157
Coco Chanel,Eladio Carrion,2023,459282058
Calm Down Baby,DJ Laxman,2024,1389772733
At My Worst,Pink Sweat$,2020,670245273
TOO MUCH,The Kid LAROI,2023,137894955
Go Down Deh (feat. Shaggy and Sean Paul),Spice,2021,218431985
Cake By The Ocean - Cover,MUSIC LAB JPN,2023,1611084670
Miles On It,Marshmello,2024,41924126
El Caballito,FARIANA,2024,184278
PICK UP THE PHONE (feat. Nate Dogg),PAWSA,2024,2284977
Tomorrow 2 (with Cardi B),GloRilla,2022,157806193
Se Prepar?,Ozuna,2017,846909112
Lost on You,LP,2016,837042727
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023,159909273
Lean Wit Me,Juice WRLD,2018,880781313
HOTEL LOBBY (Unc & Phew),Quavo,2022,399707517
"Choli Ke Peeche (From ""Crew"")",Diljit Dosanjh,2024,16264473
April Rain in August Weather,Baba Blakes,2023,408449
LEATHER,MAKAELA,2023,1696
Panini,Lil Nas X,2019,741766886
She Had Me At Heads Carolina,Cole Swindell,2022,244709550
"So Long, London",Taylor Swift,2024,175613480
good 4 u,Olivia Rodrigo,2021,2167768056
bad idea right?,Olivia Rodrigo,2023,433515672
happier,Olivia Rodrigo,2021,1133535049
Lalala,Y2K,2019,968133091
ONE MORE TIME,blink-182,2023,62097485
Chichiquetere,HCTM,2022,1858478
After Hours,Kehlani,2024,34629239
Monkeys Spinning Monkeys,Kevin MacLeod,2011,11477477
II MOST WANTED,Beyonc?,2024,76870736
One Kiss (with Dua Lipa),Calvin Harris,2015,2178606166
Mmhmm,BigXthaPlug,2023,155648648
BOP,DaBaby,2019,820923123
Husn,Anuv Jain,2023,181457783
Titanium (feat. Sia),Sia,2011,1634403761
Kahani Suno 2.0,Kaifi Khalil,2022,296648613
No_se_ve.mp3,Emilia,2023,218340846
Arcade,Duncan Laurence,2019,1184536529
Ya Te Olvide,Natanael Cano,2024,38139811
How Deep Is Your Love,Calvin Harris,2015,1156342373
BUTTERFLY EFFECT,Travis Scott,2017,1388024799
Let You Down,NF,2017,1472430869
FE!N (feat. Playboi Carti),Travis Scott,2024,656618110
Yo Perreo Sola,Bad Bunny,2020,745086450
ETA,NewJeans,2023,234215735
Jordan,Ryan Castro,2021,535847791
Take You Dancing,Jason Derulo,2020,716319941
BUBALU,Feid,2023,152487756
Be Alright,Dean Lewis,2018,1749353402
Jalebi Baby,Tesher,2020,164137928
Endless Summer,Alan Walker,2023,28340672
Belly Dancer,Imanbek,2022,547114702
Who Told You (feat. Drake),J Hus,2023,142574143
NIGHT DANCER,imase,2022,239149370
DON'T YOU WORRY,Black Eyed Peas,2022,302939117
"Rowdy Baby (From ""Maari 2"")",Dhanush,2020,58283353
MIDDLE OF THE NIGHT,Elley Duh?,2020,1104008150
Pickup Man (feat. Post Malone),HARDY,2023,27891947
Volando (Remix),Mora,2021,701919939
Moth To A Flame (with The Weeknd),Swedish House Mafia,2021,861100951
WORTH IT (feat. Don Toliver),Offset,2023,48339964
"Naina (From ""Crew"")",Diljit Dosanjh,2024,65661355
Bel Bont El3areedh,Hussain Aljassmi,2022,16119
"Naa Ready (From ""Leo"")",Anirudh Ravichander,2023,142430643
Feel the POP,ZEROBASEONE,2024,8699917
Diamonds,Rihanna,2012,1419912461
Fuera del mercado,Danny Ocean,2022,535013440
Poor People We,Harp and a monkey,2022,1071
El Cielo,Sky Rompiendo,2023,354097795
ALL MY FELLAS,Frizk,2023,56978899
Bebefinn Song,Pinkfong,2024,38895
BITTERSUITE,Billie Eilish,2024,58810212
Me Fui de Vacaciones,Bad Bunny,2022,366872354
Talk (feat. Disclosure),Khalid,2019,968194426
Rompe La Dompe,Peso Pluma,2023,164219485
greedy sped up,Tate McRae,2023,21648841
Reloj,Rauw Alejandro,2020,579749218
BADGYAL,SAIKO,2024,56282981
Sorry 4 The Wait,Lil Wayne,2022,24285898
DILUVIO,Rauw Alejandro,2023,310562790
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018,1070685587
"Kesariya (From ""Brahmastra"")",Pritam,2022,516740949
The Craving (single version),Twenty One Pilots,2024,9084595
Peaches,Jack Black,2023,144252786
Take My Breath - Single Version,The Weeknd,2021,465348362
Lavender Haze,Taylor Swift,2022,711138043
KU LO SA - A COLORS SHOW,Oxlade,2022,331419634
Nobody Gets Me,SZA,2022,561645790
Sleep Well,CG5,2024,19236234
Hei Apa Apa / Tik Tak Tik Tik,Donny Fernanda,2023,12415
Glock In My Lap,21 Savage,2020,614603953
overseas,Ken Carson,2024,35980441
PUNTO G,Quevedo,2022,600073400
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,2019,102668822
Ditto,NewJeans,2022,614497357
"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,2024,61447714
Danza Kuduro - Cover,MUSIC LAB JPN,2023,1642258500
Bubble Gum,NewJeans,2024,20630900
Abejita Chiquitita,El Payaso Plim Plim,2023,5741262
Love wins all,IU,2024,60903416
PRINCESITA DE ...,Jere Klein,2023,106290197
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021,912709169
BABY HELLO,Rauw Alejandro,2023,268383799
ONE CALL,Rich Amiri,2023,271566931
Pehle Bhi Main,Vishal Mishra,2023,235472222
Kill Bill,pasa michaelson,2023,1842758768
2/Catorce,Rauw Alejandro,2021,534981600
Ride,Twenty One Pilots,2015,1724766252
Dusk Till Dawn (feat. Sia),ZAYN,2017,7660758
Rush,Troye Sivan,2023,299291405
Physical,Dua Lipa,2020,967029446
Pumped Up Kicks,Foster The People,2010,1791778314
Yes Indeed,Lil Baby,2018,1110994645
Open Arms (feat. Travis Scott),SZA,2022,418181065
edamame (feat. Rich Brian),bbno$,2021,460770585
Turn Down for What,DJ Snake,2013,547207250
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],Metro Boomin,2023,234350961
Smokin Out The Window,Bruno Mars,2021,463977298
Goin' Off,Karan Aujla,2024,13606839
Close To You,Gracie Abrams,2024,13700065
Pagli Dekhave Agarbatti,Neelkamal Singh,2023,20981562
From The D To The A (feat. Lil Yachty),Tee Grizzley,2017,364325529
Nonsense,Sabrina Carpenter,2022,817286460
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,2021,392745531
Lose You To Love Me,Selena Gomez,2019,1222228366
Worth It,YK Osiris,2019,340112388
Fight The Feeling,Rod Wave,2023,86327319
Axel F,Crazy Frog,2009,178536020
Robbery,Juice WRLD,2019,1306374052
Bebe Dame,Fuerza Regida,2022,562099076
Green Green Grass,George Ezra,2022,300430813
Zihaal e Miskin,Javed-Mohsin,2023,110644306
Fiel,Los Legendarios,2021,642558596
Neverita,Bad Bunny,2022,831868563
2002 - Remix,Shaun Reynolds,2018,303962
No Se Va,Grupo Frontera,2022,51750
Infinity,Jaymes Young,2017,1059940209
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,2021,812954133
adore u,Fred again..,2023,129427492
Numb Little Bug,Em Beihold,2022,360584207
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,2019,822696809
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,2023,222879686
Suicidal,YNW Melly,2019,572441305
"Photo (From ""Luka Chuppi"")",Karan Sehmbi,2019,72849488
Sky,Playboi Carti,2020,710319373
Love On,Selena Gomez,2024,45878045
Payphone,Maroon 5,2012,1828026153
Brickell,Feid,2024,59546208
I Like Me Better,Lauv,2017,1784308411
RUNAWAY,OneRepublic,2023,127466467
Que Se Cuide,Luis R Conriquez,2024,36145614
On My Love,Zara Larsson,2023,128024416
Mujeriego,Ryan Castro,2021,285723562
Miss The Rage (feat. Playboi Carti),Trippie Redd,2021,535695469
TUTA GOLD,Mahmood,2024,95029509
My Boy Only Breaks His Favorite Toys,Taylor Swift,2024,161916445
Florida!!! (feat. Florence + the Machine),Taylor Swift,2024,140177107
Legends,Juice WRLD,2018,681282854
Black Beatles,Rae Sremmurd,2016,972005229
King Size,Roddy Ricch,2022,3248779
Girls Want Girls (with Lil Baby),Drake,2021,459480135
Linger - SiriusXM Session,Royel Otis,2024,8053814
SLOW DANCING IN THE DARK,Joji,2018,1291244134
BIPOLAR,Peso Pluma,2023,222295526
Addicted,Zerb,2024,63142772
Besos Moja2,Wisin & Yandel,2022,416361102
Wake Up in the Sky,Gucci Mane,2018,996942947
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Selena,2024,195435575
Papercut,Linkin Park,2024,497285757
Chanel,Becky G,2023,287853890
Back In Blood (feat. Lil Durk),Pooh Shiesty,2020,378239461
Jugaste y Sufr?,Eslabon Armado,2020,492509763
Una Foto Remix (feat. Emilia),Mesita,2024,206001461
Religiously,Bailey Zimmerman,2023,225556005
What Happened To Virgil (feat. Gunna),Lil Durk,2022,144889291
Hello,Adele,2015,1550553401
HAY LUPITA,Lomiiel,2024,22692011
Gatita,Bellakath,2022,218661601
World on Fire,Nate Smith,2023,100360956
Love You Anyway,Luke Combs,2023,164507374
MOJABI GHOST,Tainy,2023,368429447
N95,Kendrick Lamar,2022,426936498
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,2022,325654069
Papercut,Linkin Park,2024,497285757
Earned It (Fifty Shades Of Grey),The Weeknd,2015,1667089416
Gucci Gang,Lil Pump,2017,648757330
La Bebe,Yng Lvcas,2021,255707376
Jaded,Miley Cyrus,2023,173349210
Bye,Peso Pluma,2023,252239644
L$d,Luclover,2022,34621941
Wolves,Selena Gomez,2017,1358424406
Scars To Your Beautiful,Alessia Cara,2015,1422563654
FRI(END)S,V,2024,196612187
Surface Pressure,Jessica Darrow,2021,318018082
Volver Al Futuro,Oscar Maydon,2024,25593926
Praise God,Kanye West,2021,451323154
Friesenjung,Ski Aggu,2023,150508549
El Azul,Junior H,2023,684103586
EARFQUAKE,"Tyler, The Creator",2019,962546385
if u think i'm pretty,Artemas,2023,219995278
Fin de Semana,Oscar Maydon,2023,568846143
Everybody (feat. Lil Uzi Vert),Nicki Minaj,2023,114947522
My Oh My (feat. DaBaby),Camila Cabello,2019,703865912
Forever After All,Luke Combs,2020,472886929
Fried (She a Vibe),Future,2024,33224742
123 Song,D Billions,2019,628692
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,2020,578061816
Numb,Marshmello,2022,401066217
Ojapiano,KCee,2023,27444985
Area Codes,Kaliii,2023,228240866
Domingo Abacaxi Flamingo,Bolofofos,2020,12933566
Riptide,Vance Joy,2013,2541833602
Ch y la Pizza,Fuerza Regida,2022,511421362
In Ha Mood,Ice Spice,2023,190126590
ALL MINE,Brent Faiyaz,2022,315014005
Let Me Know (I Wonder Why Freestyle),Juice WRLD,2019,503584339
The Night We Met,Lord Huron,2015,2097181065
BOO!SHUT,PIGGS,2023,29649
HOLA PERDIDA REMIX,Luck Ra,2024,8981282
Talk,Yeat,2022,242057987
Now And Then,The Beatles,2023,66843778
For Life (feat. Zak Abel & Nile Rodgers),Kygo,2024,36844307
Kya Loge Tum,B Praak,2023,89701636
California Breeze,Lil Baby,2022,116994951
Nonstop,Drake,2018,1118459427
LOVE DIVE,IVE,2022,397988770
Alucin,Eugenio Esquivel,2023,207103587
Go Stupid,Polo G,2020,416388749
POPSTAR (feat. Drake),DJ Khaled,2020,712664065
Lovesick Girls,BLACKPINK,2020,561712007
Solo (feat. Demi Lovato),Clean Bandit,2018,1042065058
Una Vida Pasada,Camilo,2024,50955386
Steven Universe,L.Dre,2020,54104852
places to be,Fred again..,2024,11581454
ASI ES LA VIDA,Enrique Iglesias,2023,123776123
Elvira,Oscar Maydon,2023,183146334
Fantasias,Rauw Alejandro,2019,663578551
El Jefe,Shakira,2023,122882453
Am,Nio Garcia,2021,361357607
PLEBADA,El Alfa,2023,148677837
Danza Kuduro - Cover,MUSIC LAB JPN,2023,1651606290
Fall In Love,Bailey Zimmerman,2022,262185115
Cupid,FIFTY FIFTY,2023,212084990
Dj Gamm Gamm Piri Slow,DJ BAHBUS,2022,32014
Guilty as Sin?,Taylor Swift,2024,165611453
Waiting For Love,Avicii,2015,1397975653
Hello,Muramatsu Karaoke,2015,3531
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,2021,352955079
Mo Bamba,Sheck Wes,2017,1056346890
Bank Account,21 Savage,2017,1150653471
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2021,939627795
Never Felt So Alone,Labrinth,2023,269669185
Baile do Bruxo,Tropa do Bruxo,2023,155915718
Love Me JeJe,Tems,2024,34621656
Heather,Conan Gray,2020,1675083208
Come & Go (with Marshmello),Juice WRLD,2020,959313617
Mas Rica Que Ayer,Anuel AA,2023,256112908
Love Again,Dua Lipa,2020,665464734
all of me,21 Savage,2024,87111207
Giving Me,Jazzy,2023,150463218
Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver,2024,14204736
What Do You Mean?,Justin Bieber,2011,1599742798
Bailando - English Version,Enrique Iglesias,2014,218205900
TV,Billie Eilish,2022,572602278
But Daddy I Love Him,Taylor Swift,2024,154819909
Tiroteo - Remix,Marc Segu?,2021,654941874
pushin P (feat. Young Thug),Gunna,2022,368155242
Take Me to Church,Hozier,2013,2544489950
It's You,Ali Gatie,2019,1123039235
Love Lee,AKMU,2023,72468277
Jump,Tyla,2024,95341415
Venom - Music From The Motion Picture,Eminem,2018,788282679
fantasmas,Humbe,2023,88072335
Karma,Taylor Swift,2022,777305444
The Painter,Cody Johnson,2023,107754524
Chiky Boom,Paylon,2022,41254
Me & U,Tems,2023,100830964
Vista Al Mar,Quevedo,2022,511726944
Imagine,Carbonne,2024,35864342
All The Stars (with SZA),Kendrick Lamar,2018,1638529683
Lehanga,Jass Manak,2019,41063045
X (feat. Future),21 Savage,2016,581220786
CRAZYZ,Fuerza Regida,2023,202633616
Passionfruit,Drake,2017,1625307365
Like Crazy,Jimin,2023,1165398518
What It Is (Solo Version),Doechii,2023,308738277
Bad and Boujee (feat. Lil Uzi Vert),Migos,2016,936450891
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,2017,706158416
